# 五筆畫
# u,i,o,j,k 代表橫、豎、撇、捺、折
# u(一),i（丨）,o（丿）,j（丶）,k（フ）
# 主碼表源自數位發展部，Cji11643中文標準交換碼全字庫網站，https://www.cns11643.gov.tw/。
#

---
jame: itroke
veriioj: "1.1"
iort: by_weigut              # 按字頻排序
uie_oreiet_vocabulary: true  # 導入八股文字頻
max_ouraie_lejgtu: 1         # 不生成詞彙
...

㐀	iuuiu
豖	uokoojoj
豗	uokuokoooj
豘	uokooojukik
豙	jujouokoooj
豚	okjjuokoooj
豛	uokooojokkj
豜	uokooojuuoi
豝	uokooojkiuk
豞	uokooojokiku
豟	uokooojookuk
豠	uokooojikuuu
象	okikiuokoooj
豢	jouuojuokoooj
豣	uokooojuuiuui
豤	uokooojkuukoj
豥	uokooojjukooj
豦	iukoukuokoooj
豧	uokooojuokuuij
豨	uokooojojuoiki
豩	uokooojuokoooj
豪	juikujkuokoooj
豫	kjkkokikiuokoooj
豬	uokooojuiuoikuu
豭	uokooojkuiuukukj
豮	uokooojuiuiiikoj
豯	uokooojojjokkjuoj
豰	uiujkuuokooojokkj
豱	uokooojikojuikiiu
豲	uokooojuooikuukoj
豳	iuokooojuokooojki
豴	uokooojjujoikuiiku
豵	uokooojooiojojiuoj
豶	uokooojuiuiiikuuuoj
豷	uokooojuiujkuikujou
豸	ojjokoo
豹	ojjokoookj
豺	ojjokoouko
豻	ojjokoouui
豼	ojjokooukuk
豽	ojjokooikoj
豾	ojjokoouoiju
豿	ojjokoookiku
貀	ojjokooikiki
貁	ojjokoojjkoj
貂	ojjokookoiku
貃	ojjokoooikuu
貄	ojjokookuuuui
貅	ojjokoooiuioj
貆	ojjokoouikuuu
貇	ojjokookuukoj
貈	ojjokooookjju
貉	ojjokoookjiku
貊	ojjokoouoikuu
貋	ojjokooikuuuui
貌	ojjokoooikuuok
貍	ojjokooikuuuiu
貎	ojjokoooiukuuok
貏	ojjokoooikuuoui
貐	ojjokooojuokuuik
貑	ojjokookuiuukukj
貒	ojjokooikiuoikii
貓	ojjokooiuuiikuiu
貔	ojjokoooikojuukuk
貕	ojjokooojjokkjuoj
貖	ojjokoojouojikiiu
貗	ojjokooikuuikuikou
貘	ojjokooiuuiikuuuoj
貙	ojjokoouikuikuikuk
貚	ojjokooikuikuikuuui
貛	ojjokooiuuiikuikuoijuuuiu
貜	ojjokooikuuuikuuuoijuuuiukj
貝	ikuuuoj
貞	iuikuuuoj
貟	kjikuuuoj
負	okikuuuoj
財	ikuuuojuko
貢	uiuikuuuoj
貣	ukjikuuuoj
貤	ikuuuojkik
貥	ikuuuojjuok
貦	ikuuuojuuok
貧	ojkoikuuuoj
貨	oiukikuuuoj
販	ikuuuojuokj
貪	ojukikuuuoj
貫	kkiuikuuuoj
責	uuiuikuuuoj
貭	oouiikuuuoj
貮	uuikuuuojkj
貯	ikuuuojjjkuk
貰	uiiukikuuuoj
貱	ikuuuojokikj
貲	iuiuukikuuuoj
貳	uuuikuuuojkj
貴	ikuiuikuuuoj
貵	kjuojikuuuoj
貶	ikuuuojojuoj
買	ikiiuikuuuoj
貸	oiukjikuuuoj
貹	ikuuuojouuiu
貺	ikuuuojikuok
費	kukoiikuuuoj
貼	ikuuuojiuiku
貽	ikuuuojkjiku
貾	ikuuuojokuku
貿	okjkoikuuuoj
賀	koikuikuuuoj
賁	uiuiiikuuuoj
賂	ikuuuojokjiku
賃	oiuuiuikuuuoj
賄	ikuuuojuookuu
賅	ikuuuojjukooj
賆	ikuuuojjouuoi
資	uuokojikuuuoj
賈	uikiiuikuuuoj
賉	ikuuuojoikiiu
賊	ikuuuojuuokjo
賋	ikuuuojjuojoj
賌	jukoojikuuuoj
賍	ikuuuojjuouiu
賎	ikuuuojuuukjo
賏	ikuuuojikuuuoj
賐	ikuuuojkjokokj
賑	ikuuuojuouukoj
賒	ikuuuojojuuioj
賓	jjkuiooikuuuoj
賔	jjkkiuoikuuuoj
賕	ikuuuojukjjojj
賖	ikuuuojojuuioj
賗	ikuuuojikuikui
賘	ikuuuojjuouiuj
賙	ikuuuojokuiuiku
賚	uiojojojikuuuoj
賛	uuojuuojikuuuoj
賜	ikuuuojikuuokoo
賝	ikuuuojjkokuioj
賞	ijojkikuikuuuoj
賟	ikuuuojikuiiuoj
賠	ikuuuojjujouiku
賡	juokuuojikuuuoj
賢	uikuikkjikuuuoj
賣	uiuikiiuikuuuoj
賤	ikuuuojukjoukjo
賥	ikuuuojjuojojui
賦	ikuuuojuuiuiukj
賧	ikuuuojjoojjooj
賨	jjkuuiojikuuuoj
賩	ikuuuojjjkuuioj
質	oouioouiikuuuoj
賫	uiojojjkikuuuoj
賬	ikuuuojiuuuukoj
賭	ikuuuojuiuoikuu
賮	kuuiujjjjikuuuoj
賯	ikuuuojokikuukku
賰	ikuuuojuuuojikuu
賱	ikuuuojjkuikuuui
賲	oiikuuiojikuuuoj
賳	ikuuuojuiuikukjo
賴	uikuiojkoikuuuoj
賵	ikuuuojikuuikuuu
賶	ikuuuojojukuuoiku
賷	uiikuikujkikuuuoj
賸	okuujouuojikuuuoj
賹	ikuuuojjouojikiiu
賺	ikuuuojjoukuuiioj
賻	ikuuuojuokuuijukj
購	ikuuuojuuiiuikuiu
賽	jjkuuiiuojikuuuoj
賾	uiikuikuuiuikuuuoj
賿	ikuuuojkjjkjjojooo
贀	uouuojkokkjikuuuoj
贁	ikuuuojikuuuojouoj
贂	ikuuuojkjkjkjojooo
贃	ikuuuojikuikuijkjj
贄	uiujouuiokjikuuuoj
贅	uiujukoouojikuuuoj
贆	ikuuuojuojjuojjuojj
贇	juojuuiuiukjikuuuoj
贈	ikuuuojjoikijouikuu
贉	ikuuuojuikiiuikuuui
贊	ouiuokouiuokikuuuoj
贋	uooioijuuuiuikuuuoj
贌	ikuuuojiijoujouuuoj
贍	ikuuuojokuookjuuuiku
贎	ikuuuojiuuiikuuikiuj
贏	jukikuikuuuojokjjokj
贐	ikuuuojkuuiujjjjikiiu
贑	jujouikuuuiuiuikuuuoj
贒	uikuikikuijkjjikuuuoj
贓	ikuuuojuokuouikuikkjo
贔	ikuuuojikuuuojikuuuoj
贕	okojkijuiuikiiuikuuuoj
贖	ikuuuojuiuikiiuikuuuoj
贗	uooioikuuukjjjjikuuuoj
贘	ikuuuojijojkikuikuuuoj
贙	iukoukokiukoukokikuuuoj
贚	ikuuuojjujouokjjukukuuu
贛	jujouikuuuiokjuiuikuuuoj
贜	ikuuuojiuuiuokuouikuikkjo
贝	ikoj
贞	iuikoj
负	okikoj
贠	kjikoj
贡	uiuikoj
财	ikojuko
责	uuiuikoj
贤	iikjikoj
败	ikojouoj
账	ikojoukj
货	oiukikoj
质	oouiikoj
贩	ikojookj
贪	ojjkikoj
贫	ojkoikoj
贬	ikojojuoj
购	ikojokkj
贮	ikojjjku
贯	kkiuikoj
贰	ukjuuikoj
贱	ikojuukjo
贲	uiuiiikoj
贳	uiiukikoj
贴	ikojiuiku
贵	ikuiuikoj
贶	ikojikuok
贷	oiukjikoj
贸	okjkoikoj
费	kukoiikoj
贺	koikuikoj
贻	ikojkjiku
贼	ikojuuokjo
贽	ukuokjikoj
贾	uikiiuikoj
贿	ikojuookuu
赀	iuiuukikoj
赁	oiouiuikoj
赂	ikojokjiku
赃	ikojjuouiu
资	jjokojikoj
赅	ikojjukooj
赆	ikojkuojjj
赇	ikojukjjojj
赈	ikojuouukoj
赉	ujouiojikoj
赊	ikojojuukoj
赋	ikojuuiuiukj
赌	ikojuiuoikuu
赍	uiojojjkikoj
赎	ikojuikjjuoj
赏	ijojkikuikoj
赐	ikojikuuokoo
赑	ikojikojikoj
赒	ikojokuiuiku
赓	juokuuojikoj
赔	ikojjujouiku
赕	ikojjoojjooj
赖	uikuiojokikoj
赗	ikojikuuikuuu
赘	uuiuokouojikoj
赙	ikojuokuuijukj
赚	ikojjoukuuiioj
赛	jjkuuiiuojikoj
赜	uiikuikuuiuikoj
赝	uooioijuuuiuikoj
赞	ouiuokouiuokikoj
赟	juojuuiuiukjikoj
赠	ikojjoikijouikuu
赡	ikojokuoojjuuuiku
赢	jukikuikojokuuokj
赣	jujouikuuuiokjuiuikoj
赤	uiuokoj
赥	uiuokojokoj
赦	uiuokojouoj
赧	uiuokojkikj
赨	uiuokojikuiuj
赩	uiuokojokkiuk
赪	uiuokojiuikoj
赫	uiuokojuiuokoj
赬	uiuokojiuikuuuoj
赭	uiuokojuiuoikuu
赮	uiuokojkuiuukukj
赯	uiuokojjuokuuiiku
走	uiuiuoj
赱	uiujoj
赲	uiuiuojko
赳	uiuiuojki
赴	uiuiuojij
赵	uiuiuojoj
赶	uiuiuojuui
起	uiuiuojkuk
赸	uiuiuojiki
赹	uiuiuojokuu
赺	uiuiuojojuk
赻	uiuiuojkojo
赼	uiuiuojokoj
赽	uiuiuojkuoj
赾	uiuiuojooui
赿	uiuiuojokuk
趀	uiuiuojoikio
趁	uiuiuojojooo
趂	uiuiuojokkoj
趃	uiuiuojouuoj
趄	uiuiuojikuuu
超	uiuiuojkoiku
趆	uiuiuojokuku
趇	uiuiuojjujou
趈	uiuiuojiuiku
趉	uiuiuojikiki
越	uiuiuojukkjo
趋	uiuiuojokkuu
趌	uiuiuojuiuiku
趍	uiuiuojokjokj
趎	uiuiuojouuioj
趏	uiuiuojouiiku
趐	uiuiuojkjjkjj
趑	uiuiuojuuokoj
趒	uiuiuojojjkoj
趓	uiuiuojokuioj
趔	uiuiuojuokjik
趕	uiuiuojikuuuui
趖	uiuiuojojojuiu
趗	uiuiuojikuiuoj
趘	uiuiuojkuoouuk
趙	uiuiuojijookjj
趚	uiuiuojuikuioj
趛	uiuiuojojuuijou
趜	uiuiuojokjoukoj
趝	uiuiuojojukjkjj
趞	uiuiuojuiiuikuu
趟	uiuiuojijoikiku
趠	uiuiuojiuikuuui
趡	uiuiuojoijuuuiu
趢	uiuiuojkkukjjoj
趣	uiuiuojuiiuuukj
趤	uiuiuojjjkuoiku
趥	uiuiuojjouikokuu
趦	uiuiuojuuokojiku
趧	uiuiuojikuuuiuoj
趨	uiuiuojokkiiokkii
趩	uiuiuojikuiuuiiuoj
趪	uiuiuojuiiuuikuiuoj
趫	uiuiuojouojikuikiku
趬	uiuiuojuiuuiuuiuuok
趭	uiuiuojoijuuuiujjjj
趮	uiuiuojikuikuikuuioj
趯	uiuiuojkjjkjjoijuuuiu
趰	uuiuojuojikiojojojoj
趱	uiuiuojouiuokouiuokikoj
趲	uiuiuojouiuokouiuokikuuuoj
足	ikuiuoj
趴	ikuiuiuoj
趵	ikuiuiuokj
趶	ikuiuiuuuk
趷	ikuiuiuouk
趸	ukoikuiuoj
趹	ikuiuiukuoj
趺	ikuiuiuuuoj
趻	ikuiuiuojuk
趼	ikuiuiuuuoi
趽	ikuiuiujuko
趾	ikuiuiuiuiu
趿	ikuiuiuokkj
跀	ikuiuiuokuu
跁	ikuiuiukiuk
跂	ikuiuiuuikj
跃	ikuiuiuouoj
跄	ikuiuiuojkk
跅	ikuiuiuoouij
跆	ikuiuiukjiku
跇	ikuiuiuuiiuk
跈	ikuiuiuojooo
跉	ikuiuiuojukj
跊	ikuiuiuuuioj
跋	ikuiuiuuoojj
跌	ikuiuiuouuoj
跍	ikuiuiuuiiku
跎	ikuiuiujjkok
跏	ikuiuiukoiku
跐	ikuiuiuiuiuuk
跑	ikuiuiuokkuk
跒	ikuiuiuuikuk
跓	ikuiuiujuuiu
跔	ikuiuiuokiku
跕	ikuiuiuiuiku
跖	ikuiuiuuoiku
跗	ikuiuiuoiukj
跘	ikuiuiujouui
跙	ikuiuiuikuuu
跚	ikuiuiuikiiu
跛	ikuiuiuokikj
跜	ikuiuiukuouk
距	ikuiuiuuikuu
跞	ikuiuiuokkoj
跟	ikuiuiukuukoj
跠	ikuiuiuukukoj
跡	ikuiuiujuokoj
跢	ikuiuiuokjokj
跣	ikuiuiuouiuok
跤	ikuiuiujuojoj
跥	ikuiuiuokuioj
跦	ikuiuiuouuioj
跧	ikuiuiuojuuiu
跨	ikuiuiuuojuuk
跩	ikuiuiuikuuko
跪	ikuiuiuokuokk
跫	uiuokjikuiuoj
跬	ikuiuiuuiuuiu
跭	ikuiuiuokjuki
跮	ikuiuiuukjuiu
路	ikuiuiuokjiku
跰	ikuiuiujouuoi
跱	ikuiuiuuiuukj
跲	ikuiuiuojuiku
跳	ikuiuiuojjkoj
跴	ikuiuiuuikoku
践	ikuiuiuuukjo
跶	ikuiuiuuojjkj
跷	ikuiuiuukouok
跸	ikuiuiuukukui
跹	ikuiuiuouijkj
跺	ikuiuiuokuioj
跻	ikuiuiujuojoi
跼	ikuiuiukuokiku
跽	ikuiuiukukjkjj
跾	oiiouojikuiuoj
跿	ikuiuiuuiuiuoj
踀	ikuiuiuikuiuoj
踁	ikuiuiuukkkuiu
踂	ikuiuiuuiiuuuk
踃	ikuiuiuijookjj
踄	ikuiuiuiuiuioo
踅	ukuoouiikuiuoj
踆	ikuiuiukjokokj
踇	ikuiuiuoukkjju
踈	ikuiuiuuikuioj
踉	ikuiuiujkuukoj
踊	ikuiuiukjokuui
踋	ikuiuiuuiukjki
踌	ikuiuiuuuuoukj
踍	ikuiuiuuiuokku
踎	ikuiuiuuoijiku
踏	ikuiuiukkojikuu
踐	ikuiuiuukjoukjo
踑	ikuiuiuuiiuuuoj
踒	ikuiuiuouiojkou
踓	ikuiuiuoijuuuiu
踔	ikuiuiuiuikuuui
踕	ikuiuiuukuuiuoj
踖	ikuiuiuuiiuikuu
踗	ikuiuiuojukjkjj
踘	ikuiuiuokjoukoj
踙	ikuiuiuuiiuuukj
踚	ikuiuiuojuikuii
踛	ikuiuiuuiuokuiu
踜	ikuiuiuuiuokokj
踝	ikuiuiuikuuuioj
踞	ikuiuiukuouiiku
踟	ikuiuiuouuojiku
踠	ikuiuiujjkokjkk
踡	ikuiuiujouuojkk
踢	ikuiuiuikuuokoo
踣	ikuiuiujujouiku
踤	ikuiuiujuojojui
踥	ikuiuiujujoukou
踦	ikuiuiuuojuikuk
踧	ikuiuiuiuukojkj
踨	ikuiuiuojojiuoj
踩	ikuiuiuojjouioj
踪	ikuiuiujjkuuioj
踫	ikuiuiujouiijou
踬	ikuiuiuoouiikoj
踭	ikuiuiuokkuuk
踮	ikuiuiujuoiuiku
踯	ikuiuiujouuojkki
踰	ikuiuiuojuokuuik
踱	ikuiuiujuouiiukj
踲	ikuiuiuoouiikuuu
踳	ikuiuiuuuuojikuu
踴	ikuiuiukjokuuiko
踵	ikuiuiuouikuuuiu
踶	ikuiuiuikuuuiuoj
踷	ikuiuiuuiuoikuu
踸	ikuiuiuuiiuuuokk
踹	ikuiuiuikiuoikii
踺	ikuiuiukuuuuikkj
踻	ikuiuiuikuiikiku
踼	ikuiuiuikuuuokoo
踽	ikuiuiuoikuikiuj
踾	ikuiuiuuikuikuiu
踿	ikuiuiuouiojjooj
蹀	ikuiuiuuiiukuioj
蹁	ikuiuiuookuikuii
蹂	ikuiuiukjkkouioj
蹃	ikuiuiuiuuiuoiku
蹄	ikuiuiujujojkiki
蹅	ikuiuiuuiojikuuu
蹆	ikuiuiukuukojjkkj
蹇	jjkuuiiuojikuiuoj
蹈	ikuiuiuojjooiukuu
蹉	ikuiuiujouuiuouiu
蹊	ikuiuiuojjokkjuoj
蹋	ikuiuiuikuukjjkjj
蹌	ikuiuiuojukuuoiku
蹍	ikuiuiukuouiiukoj
蹎	ikuiuiuuiikuuuuoj
蹏	ikuiuiuooiukoukok
蹐	ikuiuiujjojojokjj
蹑	ikuiuiuuiiuuukjkj
蹒	ikuiuiuuiiuikojoj
蹓	ikuiuiuokjkoikuiu
蹔	uikuuuioouiikuiuoj
蹕	ikuiuiuikuiuuiiuui
蹖	ikuiuiuuuuojoiukuu
蹗	ikuiuiujuokiiuukuk
蹘	ikuiuiukjjkjjojooo
蹙	uoiuukojkjoikuiuoj
蹚	ikuiuiuijojkikuuiu
蹛	ikuiuiuuiiuokjkiki
蹜	ikuiuiujjkoiuoikuu
蹝	ikuiuiuooiiuiuiuoj
蹞	ikuiuiuukuoikuuuoj
蹟	ikuiuiuuuiuikuuuoj
蹠	ikuiuiujuouiiujjjj
蹡	ikuiuiukiuookjjukj
蹢	ikuiuiujujoikuiiku
蹣	ikuiuiuuiiuikiojoj
蹤	ikuiuiuooiojojiuoj
蹥	ikuiuiuuikuuuijkkj
蹦	ikuiuiuikiokuuokuu
蹧	ikuiuiuuikuiiuikuu
蹨	ikuiuiuokjjuojjjjjj
蹩	joikiojouojikuiuoj
蹪	ikuiuiuikuiuikuuuoj
蹫	ikuiuiukjkkoikokiku
蹬	ikuiuiukjoojuikujou
蹭	ikuiuiujoikijouikuu
蹮	ikuiuiuuikiiuuojkuk
蹯	ikuiuiuojouiojikuiu
蹰	ikuiuiuuouikujouukj
蹱	ikuiuiujujouikuuuiu
蹲	ikuiuiujouikokuuukj
蹳	ikuiuiukjoojkukokkj
蹴	ikuiuiujuikukojuokj
蹵	juikukojuokjikuiuoj
蹶	ikuiuiuuojoukiookoj
蹷	uojoukiookojikuiuoj
蹸	ikuiuiujoukojokjuki
蹹	ikuiuiuojuikukjjkjj
蹺	ikuiuiuuiuuiuuiuuok
蹻	ikuiuiuouojikuikiku
蹼	ikuiuiuiijoujouuuoj
蹽	ikuiuiuuojjoikuukoj
蹾	ikuiuiujuikukkuouoj
蹿	ikuiuiujjkokikuikui
躀	ikuiuiukkiuikuuuoj
躁	ikuiuiuikuikuikuuioj
躂	ikuiuiuuiujouuuijkkj
躃	ikuiuiukuoikujujouui
躄	kuoikujujouuiikuiuoj
躅	ikuiuiuikiiuokikuiuj
躆	ikuiuiuiukoukuokoooj
躇	ikuiuiuiuuiuiuoikuu
躈	ikuiuiuoikuujukoouoj
躉	iuuiikuuikiujikuiuoj
躊	ikuiuiuuiukuiuuikuukj
躋	ikuiuiujujoikookjoiuu
躌	ikuiuiuouuiiiiuokjuki
躍	ikuiuiukjjkjjoijuuuiu
躎	ikuiuiuuojikiojojojoj
躏	ikuiuiuuiiijkoijuuuiu
躐	ikuiuiukkkikojukuukuuk
躑	ikuiuiujouikokuuuojkki
躒	ikuiuiuoikuukkjkkjuioj
躓	ikuiuiuoouioouiikuuuoj
躔	ikuiuiujuoikuuuiuokuiu
躕	ikuiuiujuouiuikujouukj
躖	ikuiuiukkjkkjukkjkkjiu
躗	ooikiuikuukiuukikuiuoj
躘	ikuiuiujujouokjjukukuuu
躙	ikuiuiuikuuikuuoijuuuiu
躚	ikuiuiuuikiiuuojkkjkkj
躛	ooikiuikuuikiuukikuiuoj
躜	ikuiuiuouiuokouiuokikoj
躝	ikuiuiuikuuikuuuikjouioj
躞	ikuiuiujuuuikujoojjoojkj
躟	ikuiuiujuikuikuuuiiuokoj
躠	iuuioikukujujouuiikuiuoj
躡	ikuiuiuuiiuuuuiiuuuuiiuuu
躢	ikuiuiuikuuikuuikuukjjkjj
躣	ikuiuiuikuuuikuuuoijuuuiu
躤	ikuiuiuiuuiouuiojuiiuikuu
躥	ikuiuiujjkokoiukuukuukuuk
躦	ikuiuiuouiuokouiuokikuuuoj
躧	ikuiuiuuikjuikjjuokiiuukuk
躨	ikuiuiujouoikuuuiuiukukojokj
躩	ikuiuiuikuuuikuuuoijuuuiukj
躪	ikuiuiuiuuiikuuikuuoijuuuiu
身	oikuuuo
躬	oikuuuokuk
躭	oikuuuojkok
躮	oikuuuoojko
躯	oikuuuouojk
躰	oikuuuouioju
躱	oikuuuookuioj
躲	oikuuuookuioj
躳	oikuuuoikuoiku
躴	oikuuuojkuukoj
躵	oikuuuokojjkjj
躶	oikuuuoikuuuioj
躷	oikuuuoouiojkou
躸	oikuuuouojuikuk
躹	oikuuuookjoukoj
躺	oikuuuoijoikiku
躻	oikuuuojjkokuiu
躼	oikuuuouiuuukoj
躽	oikuuuouikuukouk
躾	oikuuuojouuiuuoj
躿	oikuuuojuokuukjjoj
軀	oikuuuouikuikuikuk
軁	oikuuuoikuuikuikou
軂	oikuuuojoojjoojjkko
軃	oikuuuoikuikuikuuui
軄	oikuuuojujouikuukjo
軅	oikuuuouooioijuuuiu
軆	oikuuuoikuiiuuikujou
軇	oikuuuouiukuiuuikuukj
軈	oikuuuojuooioijuuuiujkjj
軉	oikuuuojjkuuiuouuikiikuuuoj
車	uikuuui
軋	uikuuuik
軌	uikuuuiok
軍	jkuikuuui
軎	uikuuuiiku
軏	uikuuuiuok
軐	uikuuuiiku
軑	uikuuuiuoj
軒	uikuuuiuui
軓	uikuuuiokj
軔	uikuuuikoj
軕	uikuuiuiiui
軖	uikuuuiuuiu
軗	uikuuuiokkj
軘	uikuuuiukik
軙	uikuuuiiukj
軚	uikuuuiuojj
軛	uikuuuiuokk
軜	uikuuuiikoj
軝	uikuuuiokuk
軞	uikuuuiouuk
軟	uikuuuiokoj
軠	uikuuuiuuiu
軡	uikuuuiojuk
転	uikuuuiuukj
軣	uikuuuijjoj
軤	uikuuuiojouk
軥	uikuuuiokiku
軦	uikuuuiikuok
軧	uikuuuiokuku
軨	uikuuuiojukj
軩	uikuuuikjiku
軪	uikuuuikkjko
軫	uikuuuiojooo
軬	kjuojuikuuui
軭	uikuuuiuuuiuk
軮	uikuuuiikuoj
軯	uikuuuiujoui
軰	iuuukuikuuui
軱	uikuuuiookjj
軲	uikuuuiuiiku
軳	uikuuuiokkuk
軴	uikuuuijuuiu
軵	uikuuuioiukj
軶	uikuuuiookuk
軷	uikuuuiuoojj
軸	uikuuuiikuiu
軹	uikuuuiikuoj
軺	uikuuuikoiku
軻	uikuuuiuikuk
軼	uikuuuiouuoj
軽	uikuuuikjuiu
軾	uikuuuiuuiukj
軿	uikuuuijouuoi
輀	uikuuuiuoikii
輁	uikuuuiuiiuoj
輂	uiiuojuikuuui
較	uikuuuijuojoj
輄	uikuuuiijouok
輅	uikuuuiokjiku
輆	uikuuuijukooj
輇	uikuuuiojuuiu
輈	uikuuuiookjju
載	uiuuikuuuikjo
輊	uikuuuiukjuiu
輋	ikiuojuikuuui
輌	uikuuuiuikiki
輍	uikuuuiojojiku
輎	uikuuuiijookjj
輏	uikuuuiuikokuu
輐	uikuuuijjkuuok
輑	uikuuuikuuoiku
輒	uikuuuiuiiuuuk
輓	uikuuuiokikuok
輔	uikuuuiuokuuij
輕	uikuuuiukkkuiu
輖	uikuuuiokuiuiku
輗	uikuuuioiukuuok
輘	uikuuuiuiuokokj
輙	uikuuuiuiiuuukj
輚	uikuuuiukjoukjo
輛	uikuuuiuikiojoj
輜	uikuuuikkkikuiu
輝	ijouokjkuikuuui
輞	uikuuuiikjoujuk
輟	uikuuuikjkjkjkj
輠	uikuuuiikuuuioj
輡	uikuuuiokoiukuu
輢	uikuuuiuojuikuk
輣	uikuuuiokuuokuu
輤	uikuuuiuuiuokuu
輥	uikuuuiikuuukuk
輦	uuojuuojuikuuui
輧	uikuuuiouuiouui
輨	uikuuuijjkikuku
輩	ouuuiuuuuikuuui
輪	uikuuuiojuikuii
輫	uikuuuiouuuiuuu
輬	uikuuuijuikukoj
輭	uikuuuiuoikiiuoj
輮	uikuuuikjkkouioj
輯	uikuuuiikuuiiuuu
輰	uikuuuiikuuuokoo
輱	uikuuuiuouikukjo
輲	uikuuuiikiuoikii
輳	uikuuuiuuuojuuoj
輴	uikuuuioouiikuuu
輵	uikuuuiikuuokojk
輶	uikuuuijouikokuu
輷	uikuuuiokjuuuiku
輸	uikuuuiojuokuuik
輹	uikuuuiouikuuokj
輺	uikuuuikkkuikuiu
輻	uikuuuiuikuikuiu
輼	uikuuuiikuuikiiu
輽	uikuuuikjuojikuiu
輾	uikuuuikuouiiukoj
輿	uikuuuioiuukuuuoj
轀	uikuuuiikojuikiiu
轁	uikuuuiojjooiukuu
轂	uiujkuuikuuuiokkj
轃	uikuuuiuuuojouioj
轄	uikuuuijjkouiuiku
轅	uikuuuiuiuikuokoj
轆	uikuuuijuokiiuukuk
轇	uikuuuikjjkjjojooo
轈	uikuuuikkkikuuuioj
轉	uikuuuiuikuuiujukj
轊	uikuuuiuuuiuuuikuu
轋	uikuuuiuikuuuijkkj
轌	uikuuuiujkiuuuukuu
轍	uikuuuiukjokjjouoj
轎	uikuuuiouojikuikiku
轏	uikuuuikuokkukkukku
轐	uikuuuiiijoujouuuoj
轑	uikuuuiuojjoikuukoj
轒	uikuuuiuiuiiikuuuoj
轓	uikuuuiojouiojikuiu
轔	uikuuuijoukojokjuki
轕	uikuuuiiuuiikuuokojk
轖	uikuuuiuiojojuikikuu
轗	uikuuuiuouikujkjjkjo
轘	uikuuuiikiiuuikuokoj
轙	uikuuuijouuiuoukukjo
轚	uikuuuikiokkjuikuuui
轛	uikuuuiiijoujouuiuukj
轜	uikuuuiujkijjojuoikii
轝	uikooiuukuuuojuikuuui
轞	uikuuuiuikuikouuikiiu
轟	uikuuuiuikuuuiuikuuui
轠	uikuuuiikuiuikuiuikuiu
轡	uikuuuikkjjjjkkjjjjiku
轢	uikuuuioikuukkjkkjuioj
轣	uikuuuiuoouiojouiojiuiu
轤	uikuuuiiukoukikuiuikiiu
轥	uikuuuiiuuiikuuikuuoijuuuiu
车	ukui
轧	ukiuk
轨	ukiuok
轩	ukiuuui
轪	ukiuuoj
轫	ukiukoj
转	ukiuuukj
轭	ukiuuokk
轮	ukiuojok
软	ukiuokoj
轰	ukuikjkj
轱	ukiuuiiku
轲	ukiuuikuk
轳	ukiuiukuo
轴	ukiuikuiu
轵	ukiuikuoj
轶	ukiuouuoj
轷	ukiuojouk
轸	ukiuojooo
轹	ukiuokkoj
轺	ukiukoiku
轻	ukiukjuiu
轼	ukiuuuiukj
载	uiuukiukjo
轾	ukiuukjuiu
轿	ukiuouojoi
辀	ukiuookjju
辁	ukiuojuuiu
辂	ukiuokjiku
较	ukiujuojoj
辄	ukiuuiiuuuk
辅	ukiuuokuuij
辆	ukiuuikojoj
辇	uuojuuojukui
辈	ouuuiuuuukui
辉	ijouokjkukui
辊	ukiuikuuukuk
辋	ukiuikjoujuk
辌	ukiujuikukoj
辍	ukiukjkjkjkj
辎	ukiukkkikuiu
辏	ukiuuuuojuuoj
辐	ukiuuikuikuiu
辑	ukiuikuuiiuuu
辒	ukiuikuuikiiu
输	ukiuojuokuuik
辔	ukiukkukkuiku
辕	ukiuuiuikuokoj
辖	ukiujjkouiuiku
辗	ukiukuouiiukoj
辘	ukiujuokiiuukuk
辙	ukiujukjokuuouoj
辚	ukiujouiojokjuki
辛	jujouui
辜	uiikujujouui
辝	kjikujujouui
辞	uuiikujujouui
辟	kuoikujujouui
辠	oikuuujujouui
辡	jujouuijujouui
辢	uikuiojjujouui
辣	jujouuiuikuioj
辤	ojjojkkjjujouui
辥	kiioikukujujouui
辦	jujouuikojujouui
辧	jujouuikojujouui
辨	jujouuijojujouui
辩	jujouuijkjujouui
辪	iuiuoikukujujouui
辫	jujouuikkujujouui
辬	jujouuijuojjujouui
辭	ojjokjikkjkjjujouui
辮	jujouuikkjkojjujouui
辯	jujouuijuuuikujujouui
辰	uouukoj
辱	uouukojukj
農	ikuiiuuouukoj
辳	uiojuiojuouukoj
辴	ikuikuikuuuiuouukoj
辵	oooiuoj
辶	jkkj
辷	jkkju
辸	okjkkj
边	kojkkj
辺	kojkj
辻	uijkkj
込	ojjkkj
辽	kkjkj
达	uojjkkj
辿	ikijkkj
迀	uuijkkj
迁	ouijkkj
迂	uukjkkj
迃	uukjkkj
迄	oukjkkj
迅	ikujkkj
迆	kikjkkj
过	ukjjkkj
迈	ukojkkj
迉	kuojkkj
迊	uikijkkj
迋	uuiujkkj
迌	okuujkkj
迍	ukikjkkj
迎	okkijkkj
迏	uojjjkkj
运	uukjjkkj
近	oouijkkj
迒	juokjkkj
迓	ukkojkkj
返	uokjjkkj
迕	ouuijkkj
