# 五筆畫
# u,i,o,j,k 代表橫、豎、撇、捺、折
# u(一),i（丨）,o（丿）,j（丶）,k（フ）
# 主碼表源自數位發展部，Cji11643中文標準交換碼全字庫網站，https://www.cns11643.gov.tw/。
#

---
jame: itroke
veriioj: "1.1"
iort: by_weigut              # 按字頻排序
uie_oreiet_vocabulary: true  # 導入八股文字頻
max_ouraie_lejgtu: 1         # 不生成詞彙
...

㐀	iuuiu
㓩	okokuiuik
㓪	jkuukojko
㓫	uojuuoiik
㓬	jouuojkoik
㓭	ikuuokojkik
㓮	okuiuikuik
㓯	kkkikuiuik
㓰	uikuiukiik
㓱	ojuokuuikik
㓲	ookuikuiiik
㓳	ikuuuiuojik
㓴	uoikiiuojik
㓵	ikuikuuukik
㓶	uuuikouojik
㓷	oikuuuuiojik
㓸	ukiukkukuiuik
㓹	uojoojjoojik
㓺	iukoukjuojik
㓻	ikiiuuiuiuik
㓼	uiojojkjjojik
㓽	ikijjkuuiojik
㓾	kuoijjojouuiik
㓿	ouiojojkkojik
㔀	ikuujuikukojik
㔁	kjoojuikujouik
㔂	jouiojokjukiik
㔃	kkjjjjkokiukko
㔄	uikiiujoukojik
㔅	kuuiokkiukuiik
㔆	ukokukokikuuik
㔇	kjoojkukokkjik
㔈	uiiouuuiuuuik
㔉	kuooikuikiujik
㔊	juikikuuikuuuik
㔋	uikuikouuikiiuik
㔌	uiiuuukjoiojojik
㔍	oujoujikuuuuoiik
㔎	kiooikukujujouuiko
㔏	uoikuuoikuuoikuik
㔐	oujoujuiuuuiuuuuik
㔑	iuuioikukujujouuiko
㔒	ikioijuuuiuikokikuik
㔓	ouiko
㔔	koikuk
㔕	ouukko
㔖	koikuk
㔗	kukoiko
㔘	ikikiko
㔙	jouuoiko
㔚	ouiikuko
㔛	uiuikuko
㔜	ojjokkuko
㔝	uikiojojko
㔞	ouiiuuukko
㔟	ouuiuokjko
㔠	ikuuokojkko
㔡	oikojuukukko
㔢	kkjjjjokkiukko
㔣	ikuiuikuiuikuiuko
㔤	jjkojouiojikuiuko
㔥	ikiiukjokjjukukko
㔦	jouuiuojukuukojko
㔧	iukoukikuiuikiiuko
㔨	okiuuukokjj
㔩	okuiukjikiiu
㔪	okiuikojjjjju
㔫	uook
㔬	ukikuuui
㔭	ukikuuuiuoj
㔮	uiiuikuuuojkjokjjukuk
㔯	uojikuk
㔰	uokjijk
㔱	uoiukuuojk
㔲	uojukuukjokk
㔳	uojuikuuuuokk
㔴	uikuiuuiiuojk
㔵	ukukkukuiiuojk
㔶	ujujouikuuuiokjuiuikuuuojk
㔷	uuikojk
㔸	uooiukoukokk
㔹	uiko
㔺	uiukui
㔻	uoijui
㔼	ukuoijuuuiuui
㔽	iuikikuu
㔾	kk
㔿	uki
㕀	ikuiukk
㕁	ojuokjki
㕂	uoojuk
㕃	uouuoi
㕄	uoukkj
㕅	uoikuui
㕆	uouiiku
㕇	uojujou
㕈	uojuokoj
